Willie Allemang|Leonard Nimoy Demonstrates the Magnavision Videodisc Player (1981)
Christina Ricci|Laramie Project, The (2002)
Christina Ricci|Last of the High Kings, The (1996)
Christina Ricci|Little Red Riding Hood (1997)
Christina Ricci|Man Who Cried, The (2000)
Christina Ricci|Mermaids (1990)
Christina Ricci|Miranda (2002)
Christina Ricci|Moby: Play - The DVD (2001)
Christina Ricci|Monster (2003)
Christina Ricci|No Vacancy (1999)
Christina Ricci|Now and Then (1995)
Christina Ricci|Opposite of Sex, The (1998)
Christina Ricci|Pecker (1998)
Christina Ricci|Prozac Nation (2001)
Christina Ricci|Pumpkin (2002)
Christina Ricci|Sleepy Hollow (1999)
Christina Ricci|Sleepy Hollow: Behind the Legend (2000)
Christina Ricci|Small Soldiers (1998)
Christina Ricci|Souvenir (1998)
Christina Ricci|That Darn Cat (1997)
Christina Ricci|Very Best of Cher: The Video Hits Collection, The (2004)
Sara Rifkin|Being John Malkovich (1999)
Elizabeth Rivera|Being John Malkovich (1999)
Winona Ryder|Being John Malkovich (1999)
Dinah Shore|Greatest Summer of My Life: Billy Crystal and the Making of '61*', The (2001)
Chelsa Sjostrom|Being John Malkovich (1999)
Sara Solati|Cheshmane John Malkovich (2004)
Octavia Spencer|Being John Malkovich (1999)
Kelly Teacher|Being John Malkovich (1999)
Patti Tippo|Being John Malkovich (1999)
Judith Wetzell|Being John Malkovich (1999)
Reese Witherspoon|Adam Sandler Goes to Hell (2001)
Catherine Zeta-Jones|Adventures of Young Indiana Jones: Daredevils of the Desert, The (1992)
Catherine Zeta-Jones|America's Sweethearts (2001)
Catherine Zeta-Jones|Blue Juice (1995)
Catherine Zeta-Jones|Chicago (2002)
Catherine Zeta-Jones|Christopher Columbus: The Discovery (1992)
Catherine Zeta-Jones|Coming Out (2006)
Catherine Zeta-Jones|Entrapment (1999)
Catherine Zeta-Jones|Haunting, The (1999)
Catherine Zeta-Jones|High Fidelity (2000)
Catherine Zeta-Jones|Intolerable Cruelty (2003)
Catherine Zeta-Jones|Legend of Zorro (2005)
Catherine Zeta-Jones|Look Inside 'Intolerable Cruelty', A (2004)
Catherine Zeta-Jones|Making of 'The Haunting', The (1999)
Catherine Zeta-Jones|Mask of Zorro, The (1998)
Catherine Zeta-Jones|Mille et une nuits, Les (1990)
Catherine Zeta-Jones|Ocean's Twelve (2004)
Catherine Zeta-Jones|Phantom, The (1996)
Catherine Zeta-Jones|Sinbad: Legend of the Seven Seas (2003)
Catherine Zeta-Jones|Smoke & Mirrors (2004)
Catherine Zeta-Jones|Splitting Heirs (1993)
Catherine Zeta-Jones|Terminal, The (2004)
Catherine Zeta-Jones|Traffic (2000)
Aadil|Gandhi (1982)
Lee Aaker|High Noon (1952)
Abraxas Aaran|Patton (1970)
Bob Aaron (I)|Raging Bull (1980)
Dalton Abbott|Terminator 2: Judgment Day (1991)
Jamie Abbott (I)|Back to the Future (1985)
Bernard Abbou|Les quatre cents coups (1959)
Joe Abby|Forrest Gump (1994)
Hiro Abe|Letters from Iwo Jima (2006)
Kusuo Abe|Ikiru (1952)
Alfred Abel|Metropolis (1927)
Alejandro Abelenda|El secreto de sus ojos (2009)
Chuck Aber|The Silence of the Lambs (1991)
Abraham Abraham|Requiem for a Dream (2000)
F. Murray Abraham|Amadeus (1984)
F. Murray Abraham|Scarface (1983)
Jake Abraham (II)|Lock, Stock and Two Smoking Barrels (1998)
Gerald W. Abrams|Star Trek (2009)
Khosrow Abrishami|Casino (1995)
Werner Abrolat|Per qualche dollaro in piu (1965)
Ernest Abuba|Twelve Monkeys (1995)
Basile Achara|Platoon (1986)
Don Ackerman (III)|Citizen Kane (1941)
Walter Ackerman|King Kong (1933)
Enrique Acosta (I)|Casablanca (1942)
Antonio Acqua|8 1/2 (1963)
Ernie Adams (I)|It Happened One Night (1934)
Ernie Adams (I)|It's a Wonderful Life (1946)
Jack Adams (IV)|The Gold Rush (1925)
Joe Adams (IV)|The Manchurian Candidate (1962)
Martin Adams (I)|Full Metal Jacket (1987)
Rob Adams (I)|Forrest Gump (1994)
Stanley Adams (I)|North by Northwest (1959)
Tom Adams (I)|The Great Escape (1963)
William Adams (II)|The Hustler (1961)
Christopher Adamson (I)|Pirates of the Caribbean: The Curse of the Black Pearl (2003)
James Adamson (I)|Double Indemnity (1944)
James Adamson (I)|King Kong (1933)
Nej Adamson|Pirates of the Caribbean: The Curse of the Black Pearl (2003)
Wesley Addy|Network (1976)
Ade (I)|Snatch. (2000)
George Adelo|No Country for Old Men (2007)
Frank Aderias|The Gold Rush (1925)
Scott Adkins (II)|The Bourne Ultimatum (2007)
Bruce Adler|Beauty and the Beast (1991)
Jay Adler|The Killing (1956)
Jonathan Adler (II)|L.A. Confidential (1997)
Roger Adler|Groundhog Day (1993)
Frank Adonis|Casino (1995)
Frank Adonis|Goodfellas (1990)
Frank Adonis|Raging Bull (1980)
Bob Adrian (I)|Twelve Monkeys (1995)
Frank Adu|Taxi Driver (1976)
Israel Aduramo|Pirates of the Caribbean: The Curse of the Black Pearl (2003)
Pablo Adan|El laberinto del fauno (2006)
Ben Affleck|Good Will Hunting (1997)
Casey Affleck|Good Will Hunting (1997)
Saurabh Agarwal|Slumdog Millionaire (2008)
Mohan Agashe|Gandhi (1982)
Toshiya Agata (I)|Letters from Iwo Jima (2006)
Jalal Agha|Gandhi (1982)
Bruno Agostini|8 1/2 (1963)
Sunil Kumar Agrawal|Slumdog Millionaire (2008)
Ed Agresti|Casablanca (1942)
David Ahdar|Vertigo (1958)
Tom Ahearne|The Hustler (1961)
Patrick Aherne|Witness for the Prosecution (1957)
Michael Ahl|The Bourne Ultimatum (2007)
Borje Ahlstedt|Fanny och Alexander (1982)
Asim Ahmad|Inception (2010)
Asim Ahmad|The Dark Knight (2008)
Rufee Ahmed|Slumdog Millionaire (2008)
Rio Ahn|Letters from Iwo Jima (2006)
Yeon-suk Ahn|Oldeuboi (2003)
Danny Aiello|Leon (1994)
Danny Aiello|Once Upon a Time in America (1984)
Danny Aiello|The Godfather: Part II (1974)
Loclann Aiken|Saving Private Ryan (1998)
Norman Ainsley|Modern Times (1936)
David Ajala|The Dark Knight (2008)
Charles Akins (I)|Butch Cassidy and the Sundance Kid (1969)
Charles Akins (I)|The Man Who Shot Liberty Valance (1962)
Hiroshi Akitsu|Shichinin no samurai (1954)
Mario Alarcon|El secreto de sus ojos (2009)
Joe Alaskey|Forrest Gump (1994)
Carlos Alazraqui|Hauru no ugoku shiro (2004)
Carlos Alazraqui|Toy Story 3 (2010)
Azzedine Alaia|Le scaphandre et le papillon (2007)
Tito Alba|The Godfather: Part II (1974)
Frank Albanese|Goodfellas (1990)
Michael Albanese (I)|Terminator 2: Judgment Day (1991)
John Albasiny|The King's Speech (2010)
Eddie Albert|Roman Holiday (1953)
Fritz Alberti|Metropolis (1927)
Guido Alberti|8 1/2 (1963)
Frank Albertson (I)|It's a Wonderful Life (1946)
Frank Albertson (I)|Psycho (1960)
Jeff Albertson|The Dark Knight (2008)
Karl-Otto Alberty|The Great Escape (1963)
Andy Albin|North by Northwest (1959)
Fernando Albizu|El laberinto del fauno (2006)
Kevin Albridge|Full Metal Jacket (1987)
John Albright|Singin' in the Rain (1952)
Wally Albright|The Grapes of Wrath (1940)
Edward Aldag|Big Fish (2003)
Eric Alden (I)|Gone with the Wind (1939)
Norman Alden|Back to the Future (1985)
Norman Alden|Ed Wood (1994)
Van Alder|King Kong (1933)
Erville Alderson|Mr. Smith Goes to Washington (1939)
Erville Alderson|The Grapes of Wrath (1940)
George Alderson (I)|Dial M for Murder (1954)
Fred Aldrich (I)|Sunset Blvd. (1950)
Fred Aldrich (I)|The Great Dictator (1940)
Anthony Alessandro|Goodfellas (1990)
Ben Alexander (I)|All Quiet on the Western Front (1930)
Jack Alexander (III)|City Lights (1931)
John Alexander (I)|Arsenic and Old Lace (1944)
Markus Alexander|Forrest Gump (1994)
Newell Alexander (I)|Hauru no ugoku shiro (2004)
Newell Alexander (I)|Kaze no tani no Naushika (1984)
Richard Alexander (I)|All Quiet on the Western Front (1930)
Richard Alexander (I)|Modern Times (1936)
Richard Alexander (I)|The Great Dictator (1940)
T.S. Alexander|City Lights (1931)
Victor Alexander (IV)|City Lights (1931)
Dean Alexandrou|Batman Begins (2005)
Demetrius Alexis|Citizen Kane (1941)
Erasmus C. Alfano|Goodfellas (1990)
Manny Alfaro|Goodfellas (1990)
Claudio Alfonsi|La vita e bella (1997)
Phillip Alford|To Kill a Mockingbird (1962)
Jimmy Alioto|Million Dollar Baby (2004)
Roger Allam|V for Vendetta (2006)
Chick Allan|Gladiator (2000)
Shafique Allan|District 9 (2009)
William Alland|Citizen Kane (1941)
Michael Alldredge|Scarface (1983)
Bernie Allen (I)|Raging Bull (1980)
Carl Allen (I)|Pulp Fiction (1994)
Corey Allen (I)|The Night of the Hunter (1955)
Ed Allen (I)|King Kong (1933)
Fletcher Allen|Psycho (1960)
Gary Allen (I)|Annie Hall (1977)
Joel Allen (I)|Strangers on a Train (1951)
Joel Allen (I)|Sunset Blvd. (1950)
John Edward Allen|Blade Runner (1982)
Keith Allen (I)|Trainspotting (1996)
Kevin Allen (I)|Trainspotting (1996)
Matthew W. Allen|The Dark Knight (2008)
Patrick Allen (I)|Dial M for Murder (1954)
Peter Allen (VI)|Citizen Kane (1941)
Sam Allen (I)|The Gold Rush (1925)
Steve Allen (I)|Casino (1995)
Tim Allen (I)|Toy Story (1995)
Tim Allen (I)|Toy Story 3 (2010)
Woody Allen|Annie Hall (1977)
Woody Allen|Manhattan (1979)
George W. Allf|Casino (1995)
Bill Allison (I)|Casino (1995)
Frankie J. Allison|Casino (1995)
James Allodi|Good Will Hunting (1997)
Bruce Allpress|The Lord of the Rings: The Two Towers (2002)
Loren Almaguer|Scarface (1983)
Junior Almeida|Leon (1994)
Kristian Almgren|Fanny och Alexander (1982)
Laz Alonso|Avatar (2009)
Gregory Alosio|Pirates of the Caribbean: The Curse of the Black Pearl (2003)
Murray Alper|Strangers on a Train (1951)
Murray Alper|The Maltese Falcon (1941)
William Alston|Citizen Kane (1941)
Tom Alter|Gandhi (1982)
Bob Altman (I)|Goodfellas (1990)
John Altman (II)|Star Wars: Episode VI - Return of the Jedi (1983)
Baudelio Alva|Citizen Kane (1941)
Angel H. Alvarado Jr.|No Country for Old Men (2007)
Marcello 'Mascara' Alves|Cidade de Deus (2002)
Masuo Amada|Ran (1985)
Toshiyuki Amagasa|Tonari no Totoro (1988)
Richard Amalfitano|Casino (1995)
Mathieu Amalric|Le scaphandre et le papillon (2007)
Ryutaro Amami|Shichinin no samurai (1954)
Hideyo Amamoto|Yojinbo (1961)
Goro Amano|Shichinin no samurai (1954)
Nelson Amaral|Cidade de Deus (2002)
Florencio Amarilla|Patton (1970)
Amarjeet (I)|Gandhi (1982)
Dean Ambridge|The King's Speech (2010)
Armando Ambrogi|Roman Holiday (1953)
Said Amel|Gladiator (2000)
Don Amendolia|Ed Wood (1994)
James Ames|The Best Years of Our Lives (1946)
Armin Amiri|The Wrestler (2008)
Martin Amor (I)|2001: A Space Odyssey (1968)
Otto Amorim|Cidade de Deus (2002)
Tom Amundsen|Kaze no tani no Naushika (1984)
Marc Amyot|Le fabuleux destin d'Amelie Poulain (2001)
Joe Anastasi|Casino (1995)
Chris Anastasio|Jaws (1975)
Bertil Anderberg|Det sjunde inseglet (1957)
Rudolph Anders|The Great Dictator (1940)
Andrew Anderson (V)|The Wrestler (2008)
Anthony Anderson (I)|The Departed (2006)
Bill Anderson (IV)|Ed Wood (1994)
Bob Anderson (III)|Star Wars: Episode V - The Empire Strikes Back (1980)
Christopher James Anderson|The Dark Knight (2008)
Claude Anderson|The Gold Rush (1925)
Del Anderson|Full Metal Jacket (1987)
Dennis Anderson (II)|American Beauty (1999)
Dion Anderson (I)|The Shawshank Redemption (1994)
Eddie 'Rochester' Anderson|Gone with the Wind (1939)
Ernest Anderson (I)|North by Northwest (1959)
Floyd Anderson (II)|Raging Bull (1980)
George Anderson (I)|Double Indemnity (1944)
Greg Anderson (III)|Casino (1995)
Harry Anderson (II)|Mr. Smith Goes to Washington (1939)
J. Todd Anderson|Fargo (1996)
James Anderson (I)|To Kill a Mockingbird (1962)
James P. Anderson|The Departed (2006)
Jeff Scott Anderson|Casino (1995)
John Anderson (I)|Psycho (1960)
Richard Anderson (I)|Paths of Glory (1957)
Rico E. Anderson|Star Trek (2009)
Robert J. Anderson|It's a Wonderful Life (1946)
Robert J. Anderson|The Grapes of Wrath (1940)
S. Newton Anderson|2001: A Space Odyssey (1968)
Sam Anderson (I)|Forrest Gump (1994)
Ikuma Ando|Letters from Iwo Jima (2006)
Yoshi Ando (I)|Letters from Iwo Jima (2006)
Charles Andre (I)|The Hustler (1961)
Anthony Andrews (I)|The King's Speech (2010)
Dana Andrews (I)|The Best Years of Our Lives (1946)
David Andrews (I)|Fight Club (1999)
Giuseppe Andrews|American History X (1998)
Jason Andrews (I)|Magnolia (1999)
Mark Andrews (VI)|The Incredibles (2004)
Mark Andrews (XX)|Up (2009)
Stanley Andrews (I)|It's a Wonderful Life (1946)
Stanley Andrews (I)|Mr. Smith Goes to Washington (1939)
Lucio Andrey|Cidade de Deus (2002)
Luc Andrieux|Les quatre cents coups (1959)
Livio Andronico|C'era una volta il West (1968)
Andre the Giant|The Princess Bride (1987)
Marc Andreoni|Leon (1994)
Frank Angel|King Kong (1933)
Jack Angel (I)|Beauty and the Beast (1991)
Jack Angel (I)|Monsters, Inc. (2001)
Jack Angel (I)|Sen to Chihiro no kamikakushi (2001)
Jack Angel (I)|Toy Story (1995)
Jack Angel (I)|Toy Story 3 (2010)
Dom Angelo|Casino (1995)
Jean-Hugues Anglade|Leon (1994)
Alex Angulo|El laberinto del fauno (2006)
Andrew Aninsman|The Departed (2006)
Kwaku Ankomah|Batman Begins (2005)
David Ankrum|Star Wars (1977)
Armando Annuale|Roman Holiday (1953)
Jack Ano|Vertigo (1958)
Joey Ansah|Batman Begins (2005)
Joey Ansah|The Bourne Ultimatum (2007)
Norman Anstey|District 9 (2009)
Jerry Antes|Rear Window (1954)
Bill Anthony (I)|Manhattan (1979)
Den Antonakas|District 9 (2009)
Eduardo Antonio Garcia|No Country for Old Men (2007)
Lou Antonio|Cool Hand Luke (1967)
Vittorio Antonucci|Ladri di biciclette (1948)
Omero Antonutti|La vita e bella (1997)
Paul Antony-Barber|V for Vendetta (2006)
Vito Antuofermo|Goodfellas (1990)
Hy Anzell|Annie Hall (1977)
Hirayoshi Aono|Ikiru (1952)
Stephen Apostolina|Kaze no tani no Naushika (1984)
Peter Appel|Leon (1994)
Peter Appiano|Schindler's List (1993)
Noel Appleby|The Lord of the Rings: The Fellowship of the Ring (2001)
Noel Appleby|The Lord of the Rings: The Return of the King (2003)
Dominic Applewhite|The King's Speech (2010)
John Aprea|The Godfather: Part II (1974)
Vinay Apte|Gandhi (1982)
Frank Aquilino|Goodfellas (1990)
Julian Arahanga|The Matrix (1999)
Tomas Arana|Gladiator (2000)
Tomas Arana|L.A. Confidential (1997)
Alfonso Arau|The Wild Bunch (1969)
Marcelo Araujo|Cidade de Deus (2002)
Wallace Araujo|Cidade de Deus (2002)
Robert Arber|There Will Be Blood (2007)
Rob Arbogast (I)|The Prestige (2006)
T. Lockwood Arbright|Citizen Kane (1941)
John Arceri|Raging Bull (1980)
David Arcerio|Casino (1995)
Mel Archer|A Streetcar Named Desire (1951)
Louis V. Arco|Casablanca (1942)
Sten Ardenstam|Det sjunde inseglet (1957)
Gino Ardito|Taxi Driver (1976)
Tommy Ardolino|Taxi Driver (1976)
Jorge Arellano|Amores perros (2000)
Fortunato Arena|Il buono, il brutto, il cattivo. (1966)
Maurizio Arena (I)|Roman Holiday (1953)
Lee Arenberg|Pirates of the Caribbean: The Curse of the Black Pearl (2003)
Niels Arestrup|Le scaphandre et le papillon (2007)
Thierry Arfeuilleres|Le fabuleux destin d'Amelie Poulain (2001)
Mariano Argento|El secreto de sus ojos (2009)
Carmen Argenziano|The Godfather: Part II (1974)
Vinny Argiro|Ed Wood (1994)
Victor Argo|Taxi Driver (1976)
Austin Aries|The Wrestler (2008)
Roman Ariznavarreta|Il buono, il brutto, il cattivo. (1966)
Roman Ariznavarreta|Per qualche dollaro in piu (1965)
John Arledge|Gone with the Wind (1939)
John Arledge|The Grapes of Wrath (1940)
Stephen Armourae|The Dark Knight (2008)
Alun Armstrong|Braveheart (1995)
Charles Armstrong (III)|The King's Speech (2010)
R.L. Armstrong|To Kill a Mockingbird (1962)
Ray Armstrong (II)|Star Wars: Episode VI - Return of the Jedi (1983)
Robert Armstrong (I)|King Kong (1933)
Wanliss E. Armstrong|Letters from Iwo Jima (2006)
William Armstrong (I)|Aliens (1986)
William Armstrong (I)|The Dark Knight (2008)
Ed Arneson|Terminator 2: Judgment Day (1991)
Will Arnett|Ratatouille (2007)
Jacques Arnna|La passion de Jeanne d'Arc (1928)
Sig Arno|The Great Dictator (1940)
Bret A. Arnold|Terminator 2: Judgment Day (1991)
Denny Arnold|Chinatown (1974)
Edward Arnold (I)|Duck Soup (1933)
Edward Arnold (I)|Mr. Smith Goes to Washington (1939)
Frank Arnold (I)|Casablanca (1942)
Lamont Arnold|The Silence of the Lambs (1991)
Richard Arnold (III)|Star Trek (2009)
Thomas Arnold (I)|Das Leben der Anderen (2006)
William Arnold (I)|Mr. Smith Goes to Washington (1939)
William Arnold (I)|The Great Dictator (1940)
Michael Aronin|Annie Hall (1977)
Abraham Aronofsky|Black Swan (2010)
Abraham Aronofsky|Requiem for a Dream (2000)
Abraham Aronofsky|The Wrestler (2008)
Darren Aronofsky|Requiem for a Dream (2000)
Lewis Arquette|Mononoke-hime (1997)
Richmond Arquette|Fight Club (1999)
Richmond Arquette|Se7en (1995)
Harry Arras|The Gold Rush (1925)
Jack Arrow (I)|The Third Man (1949)
Mihai Arsene|The King's Speech (2010)
Antonin Artaud|La passion de Jeanne d'Arc (1928)
Mario Arteaga (I)|The Man Who Shot Liberty Valance (1962)
Nihal Arthanyake|Children of Men (2006)
Grzegorz Artman|The Pianist (2002)
Michael Arturo|Fight Club (1999)
Eduardo Aranega|El laberinto del fauno (2006)
Sam Ash (I)|Citizen Kane (1941)
Sam Ash (I)|It's a Wonderful Life (1946)
Sam Ash (I)|Mr. Smith Goes to Washington (1939)
Clive Ashborn|V for Vendetta (2006)
Graham Ashley|Star Wars (1977)
John Ashley (III)|2001: A Space Odyssey (1968)
Al Ashton|Gladiator (2000)
Luke Askew|Cool Hand Luke (1967)
Harry Asklund|Det sjunde inseglet (1957)
Edward Asner|Up (2009)
Chuck Aspegren|The Deer Hunter (1978)
Joachim Paul Assbock|Schindler's List (1993)
Joachim Paul Assbock|The Pianist (2002)
Hans-Jorg Assmann|Schindler's List (1993)
Ben Astar|Blade Runner (1982)
Spencer Aste (II)|Toy Story (1995)
Sean Astin|The Lord of the Rings: The Fellowship of the Ring (2001)
Sean Astin|The Lord of the Rings: The Return of the King (2003)
Sean Astin|The Lord of the Rings: The Two Towers (2002)
David Aston (I)|The Lord of the Rings: The Return of the King (2003)
David Aston (I)|The Matrix (1999)
Roscoe Ates|Gone with the Wind (1939)
Roscoe Ates|King Kong (1933)
William Atherton|Die Hard (1988)
Fort Atkinson|American Beauty (1999)
Frank Atkinson (II)|The Grapes of Wrath (1940)
Rowan Atkinson|The Lion King (1994)
Richard Attenborough|The Great Escape (1963)
Malcolm Atterbury|North by Northwest (1959)
Hin-Wai Au|Mou gaan dou (2002)
Francois Aubineau|Le fabuleux destin d'Amelie Poulain (2001)
Michael Audley (V)|Citizen Kane (1941)
Patrick Auffay|Les quatre cents coups (1959)
Edwin August|Mr. Smith Goes to Washington (1939)
Michael August (III)|Inception (2010)
Michael August (III)|Inglourious Basterds (2009)
Brandon Auret|District 9 (2009)
Pete Auster (I)|Forrest Gump (1994)
Albert Austin|City Lights (1931)
Albert Austin|The Gold Rush (1925)
Albert Austin|The Kid (1921)
Frank Austin (I)|Mr. Smith Goes to Washington (1939)
Jeff Austin (I)|L.A. Confidential (1997)
Mark Austin (III)|Star Wars (1977)
Marc Autheman|Trois couleurs: Rouge (1994)
Frankie Avalon|Casino (1995)
Carlos Henrique Avernas|Cidade de Deus (2002)
Brian Avery (I)|The Graduate (1967)
Rick Avery|Heat (1995)
Tol Avery|North by Northwest (1959)
Christopher Avildsen|Rocky (1976)
Uri Avrahami|Schindler's List (1993)
Harold Ayer|The Third Man (1949)
Harry Ayers|City Lights (1931)
Arthur Aylesworth|The Grapes of Wrath (1940)
Jean Ayme|La passion de Jeanne d'Arc (1928)
Lew Ayres|All Quiet on the Western Front (1930)
Hank Azaria|Heat (1995)
Christian A. Azzinaro|Casino (1995)
Jeffery Azzinaro|Casino (1995)
Obba Babatunde|The Silence of the Lambs (1991)
Amaury Babault|Le fabuleux destin d'Amelie Poulain (2001)
O.B. Babbs|Stand by Me (1986)
Mike Babcock (I)|Pirates of the Caribbean: The Curse of the Black Pearl (2003)
Bob Babenia|Gandhi (1982)
James Babson|The Shawshank Redemption (1994)
Jonathan Baca|Star Trek (2009)
Michael Bacall|Inglourious Basterds (2009)
John Bach (I)|The Lord of the Rings: The Return of the King (2003)
John Bach (I)|The Lord of the Rings: The Two Towers (2002)
Mike Bach (I)|The Dark Knight (2008)
Gideon Bachman|8 1/2 (1963)
Irving Bacon|Gone with the Wind (1939)
Irving Bacon|His Girl Friday (1940)
Irving Bacon|It Happened One Night (1934)
Irving Bacon|The Grapes of Wrath (1940)
Kevin Bacon (I)|Mystic River (2003)
Walter Bacon (I)|Citizen Kane (1941)
Michael Badalucco|Leon (1994)
Michael Badalucco|Raging Bull (1980)
Bolaji Badejo|Alien (1979)
Scott Bader (I)|Requiem for a Dream (2000)
Paul Badger|The Princess Bride (1987)
Ross Bagdasarian|Rear Window (1954)
Ross Bagdasarian|Stalag 17 (1953)
King Baggot (I)|The Philadelphia Story (1940)
Gianni Baghino|Le notti di Cabiria (1957)
Sam Bagley (I)|Some Like It Hot (1959)
Silvio Bagolini|Roman Holiday (1953)
Varun Bagri|Slumdog Millionaire (2008)
John Bahr|Jaws (1975)
Bruce Bahrenburg|Once Upon a Time in America (1984)
Dion Baia|The Departed (2006)
Udayan Baijal|Slumdog Millionaire (2008)
Eion Bailey|Fight Club (1999)
Harry A. Bailey (I)|Citizen Kane (1941)
Harry A. Bailey (I)|Mr. Smith Goes to Washington (1939)
Jack Bailey (I)|It's a Wonderful Life (1946)
Philip Bailey|Full Metal Jacket (1987)
Raymond Bailey|Vertigo (1958)
William Bailey (I)|It Happened One Night (1934)
David Bailie (I)|Gladiator (2000)
David Bailie (I)|Pirates of the Caribbean: The Curse of the Black Pearl (2003)
Henry Baird|The General (1926)
Richard Bakalyan|Chinatown (1974)
Ariyon Bakare|The Dark Knight (2008)
David Baker (I)|The Godfather: Part II (1974)
Dennis Baker (II)|The Shawshank Redemption (1994)
Dylan Baker (I)|Requiem for a Dream (2000)
Eddie Baker (I)|City Lights (1931)
Joe Don Baker|Cool Hand Luke (1967)
Kenny Baker (I)|Amadeus (1984)
Kenny Baker (I)|Star Wars (1977)
Kenny Baker (I)|Star Wars: Episode V - The Empire Strikes Back (1980)
Kenny Baker (I)|Star Wars: Episode VI - Return of the Jedi (1983)
Kenny Baker (I)|The Elephant Man (1980)
Leonard Baker (I)|The Man Who Shot Liberty Valance (1962)
Ray Baker (I)|Ed Wood (1994)
Sala Baker|Star Trek (2009)
Sala Baker|The Lord of the Rings: The Fellowship of the Ring (2001)
Sala Baker|The Lord of the Rings: The Return of the King (2003)
Sala Baker|The Lord of the Rings: The Two Towers (2002)
Simon Baker (I)|L.A. Confidential (1997)
Steve Baker (II)|Goodfellas (1990)
Tommy Baker (I)|Mr. Smith Goes to Washington (1939)
Wayne Baker (I)|The Dark Knight (2008)
William Bakewell|All Quiet on the Western Front (1930)
William Bakewell|Gone with the Wind (1939)
Ed Bakey|The Sting (1973)
Scott Bakula|American Beauty (1999)
Oreste Baldini (II)|The Godfather: Part II (1974)
Brad Baldridge|Heat (1995)
Franco Balducci|Le notti di Cabiria (1957)
Adam Baldwin|Full Metal Jacket (1987)
Alec Baldwin|The Departed (2006)
Bill Baldwin (II)|Rocky (1976)
Bill Baldwin (II)|Rosemary's Baby (1968)
Bill Baldwin (II)|The Apartment (1960)
Peter Baldwin (I)|Stalag 17 (1953)
Stephen Baldwin (I)|The Usual Suspects (1995)
Walter Baldwin (I)|Rosemary's Baby (1968)
Walter Baldwin (I)|The Best Years of Our Lives (1946)
Christian Bale|Batman Begins (2005)
Christian Bale|Hauru no ugoku shiro (2004)
Christian Bale|The Dark Knight (2008)
Christian Bale|The Prestige (2006)
Leo Baligaya|Star Trek (2009)
Jeremy Ball (I)|The Matrix (1999)
Tenzin Clive Ball|Batman Begins (2005)
Michael Henbury Ballan|Star Wars: Episode VI - Return of the Jedi (1983)
Martin Ballantyne|The Bourne Ultimatum (2007)
Martin Ballantyne|The Dark Knight (2008)
Doug Ballard|The Dark Knight (2008)
Larry Ballard (I)|Magnolia (1999)
Ugo Ballerini|Roman Holiday (1953)
Les Ballets Africains|Ben-Hur (1959)
Martin Balsam|12 Angry Men (1957)
Martin Balsam|On the Waterfront (1954)
Martin Balsam|Psycho (1960)
Vito Balsamo|Goodfellas (1990)
James Balter|Annie Hall (1977)
Kirk Baltz|Reservoir Dogs (1992)
David Bamber|The King's Speech (2010)
Firdous Bamji|The Sixth Sense (1999)
Eric Bana|Finding Nemo (2003)
Eric Bana|Mary and Max (2009)
Eric Bana|Star Trek (2009)
John Bandemer|Fargo (1996)
Ved Bandhu|Annie Hall (1977)
Takumi Bando|Letters from Iwo Jima (2006)
Takumi Bando|The Departed (2006)
Jira Banjara|Slumdog Millionaire (2008)
Douglas Bank|Butch Cassidy and the Sundance Kid (1969)
Ian Bannen|Braveheart (1995)
Ian Bannen|Gandhi (1982)
Peter Bannon|Forrest Gump (1994)
Rene Baranger|Le salaire de la peur (1953)
Bobby Barber|Modern Times (1936)
Bobby Barber|To Kill a Mockingbird (1962)
Norman Barbera|Goodfellas (1990)
Ciccio Barbi|Le notti di Cabiria (1957)
Vincent Barbi|Raging Bull (1980)
Alberto Barcelos|The Dark Knight (2008)
Omar 'Mazinho' Barcelos|Cidade de Deus (2002)
Roy Barcroft|Rosemary's Baby (1968)
Ralph Bard|King Kong (1933)
Javier Bardem|No Country for Old Men (2007)
Trevor Bardette|Gone with the Wind (1939)
Trevor Bardette|The Big Sleep (1946)
Trevor Bardette|The Grapes of Wrath (1940)
Adam Bareham|Star Wars: Episode VI - Return of the Jedi (1983)
Robert Barge|There Will Be Blood (2007)
Peter Barkworth|Patton (1970)
Louis Barlotti|Full Metal Jacket (1987)
Reginald Barlow (I)|King Kong (1933)
Frank Barnes (IV)|The General (1926)
Johnny Barnes (I)|Raging Bull (1980)
Rayford Barnes|The Wild Bunch (1969)
Scott Barnes (I)|Beauty and the Beast (1991)
Tommy Barnes (I)|The Green Mile (1999)
Angus Barnett|Pirates of the Caribbean: The Curse of the Black Pearl (2003)
John Barnett (II)|Saving Private Ryan (1998)
Vince Barnett|All Quiet on the Western Front (1930)
Jonathan Baron|The Social Network (2010)
Noah Baron (II)|The Social Network (2010)
Gil Baroni (I)|La vita e bella (1997)
Byron Barr|Double Indemnity (1944)
Leonard Barr|The Sting (1973)
Simon Barr (II)|The Social Network (2010)
Steven Barr (V)|There Will Be Blood (2007)
Ron Barracks|Platoon (1986)
Jose Luis Barraza|Amores perros (2000)
Steve Barredo|Platoon (1986)
Gil Barreto|Scarface (1983)
John Barrie (I)|Patton (1970)
Baynes Barron|North by Northwest (1959)
Wendel Barros|Cidade de Deus (2002)
Dave Barry (I)|Some Like It Hot (1959)
